district,img_url
"Bijlmer Oost (E,G,K)",https://data.amsterdam.nl/panorama/2018/09/19/TMX7316060226-000318/pano_0000_000000/equirectangular/panorama_2000.jpg
Nellestein,https://data.amsterdam.nl/panorama/2018/09/19/TMX7316060226-000318/pano_0000_000424/equirectangular/panorama_2000.jpg
Gein,https://data.amsterdam.nl/panorama/2018/09/19/TMX7316060226-000318/pano_0000_001506/equirectangular/panorama_2000.jpg
Weesperbuurt/Plantage,https://data.amsterdam.nl/panorama/2016/11/24/TMX7316010203-000190/pano_0000_001678/equirectangular/panorama_2000.jpg
Dapperbuurt,https://data.amsterdam.nl/panorama/2017/03/23/TMX7316010203-000220/pano_0001_000006/equirectangular/panorama_2000.jpg
Oostelijke Eilanden/Kadijken,https://data.amsterdam.nl/panorama/2017/03/23/TMX7316010203-000220/pano_0001_000130/equirectangular/panorama_2000.jpg
Nieuwmarkt/Lastage,https://data.amsterdam.nl/panorama/2017/03/23/TMX7316010203-000221/pano_0000_000856/equirectangular/panorama_2000.jpg
Burgwallen-Oude Zijde,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000224/pano_0000_000620/equirectangular/panorama_2000.jpg
Oostelijk Havengebied,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000224/pano_0000_001385/equirectangular/panorama_2000.jpg
Burgwallen-Nieuwe Zijde,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000224/pano_0000_001715/equirectangular/panorama_2000.jpg
Haarlemmerbuurt,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000224/pano_0000_001777/equirectangular/panorama_2000.jpg
Spaarndammer- en Zeeheldenbuurt,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000224/pano_0000_002271/equirectangular/panorama_2000.jpg
Grachtengordel-West,https://data.amsterdam.nl/panorama/2017/03/27/TMX7316010203-000225/pano_0008_000345/equirectangular/panorama_2000.jpg
Grachtengordel-Zuid,https://data.amsterdam.nl/panorama/2017/03/29/TMX7316010203-000227/pano_0000_000078/equirectangular/panorama_2000.jpg
Indische Buurt West,https://data.amsterdam.nl/panorama/2017/03/29/TMX7316010203-000227/pano_0001_000496/equirectangular/panorama_2000.jpg
Middenmeer,https://data.amsterdam.nl/panorama/2017/03/29/TMX7316010203-000227/pano_0001_000760/equirectangular/panorama_2000.jpg
Frankendael,https://data.amsterdam.nl/panorama/2017/03/29/TMX7316010203-000230/pano_0000_000144/equirectangular/panorama_2000.jpg
Transvaalbuurt,https://data.amsterdam.nl/panorama/2017/03/29/TMX7316010203-000231/pano_0002_000221/equirectangular/panorama_2000.jpg
Betondorp,https://data.amsterdam.nl/panorama/2017/03/30/TMX7316010203-000232/pano_0000_001339/equirectangular/panorama_2000.jpg
Weesperzijde,https://data.amsterdam.nl/panorama/2017/03/31/TMX7316010203-000234/pano_0001_000011/equirectangular/panorama_2000.jpg
Oosterparkbuurt,https://data.amsterdam.nl/panorama/2017/03/31/TMX7316010203-000234/pano_0001_000291/equirectangular/panorama_2000.jpg
De Weteringschans,https://data.amsterdam.nl/panorama/2017/03/31/TMX7316010203-000234/pano_0002_000001/equirectangular/panorama_2000.jpg
IJburg West,https://data.amsterdam.nl/panorama/2017/04/03/TMX7316010203-000240/pano_0001_000135/equirectangular/panorama_2000.jpg
Zeeburgereiland/Nieuwe Diep,https://data.amsterdam.nl/panorama/2017/04/03/TMX7316010203-000240/pano_0001_000363/equirectangular/panorama_2000.jpg
IJburg Zuid,https://data.amsterdam.nl/panorama/2017/04/03/TMX7316010203-000240/pano_0001_002836/equirectangular/panorama_2000.jpg
IJburg Oost,https://data.amsterdam.nl/panorama/2017/04/03/TMX7316010203-000241/pano_0000_002101/equirectangular/panorama_2000.jpg
Indische Buurt Oost,https://data.amsterdam.nl/panorama/2017/04/04/TMX7316010203-000242/pano_0000_003263/equirectangular/panorama_2000.jpg
Omval/Overamstel,https://data.amsterdam.nl/panorama/2017/04/05/TMX7316010203-000244/pano_0000_000008/equirectangular/panorama_2000.jpg
Waterland,https://data.amsterdam.nl/panorama/2018/07/25/TMX7316010203-000871/pano_0000_001961/equirectangular/panorama_2000.jpg
Nieuwe Pijp,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000251/pano_0000_003394/equirectangular/panorama_2000.jpg
Zuid Pijp,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000251/pano_0000_003564/equirectangular/panorama_2000.jpg
Oude Pijp,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000251/pano_0000_004113/equirectangular/panorama_2000.jpg
Scheldebuurt,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000008/equirectangular/panorama_2000.jpg
Rijnbuurt,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000153/equirectangular/panorama_2000.jpg
IJselbuurt,https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001184/equirectangular/panorama_2000.jpg
Buitenveldert-Oost,https://data.amsterdam.nl/panorama/2017/04/10/TMX7316010203-000253/pano_0000_000000/equirectangular/panorama_2000.jpg
